No.,Title,Author,Year,Language,Birth Date,Ages
1,The StrangerThe Outsider,Albert Camus,1942,French,7-Nov-13,29
2,In Search of Lost TimeRemembrance of Things Past,Marcel Proust,1920,French,10 July 1871,49
3,The Trial,Franz Kafka,1925,German,3 July 1883,42
4,The Little Prince,Antoine de Saint-Exupry,1943,French,29-Jun-00,43
5,Man's Fate,Andr Malraux,1933,French,3-Nov-01,32
6,Journey to the End of the Night,Louis-Ferdinand Cline,1932,French,27 May 1894,38
7,The Grapes of Wrath,John Steinbeck,1939,English,27-Feb-02,37
8,For Whom the Bell Tolls,Ernest Hemingway,1940,English,21 July 1899,41
9,Le Grand Meaulnes,Alain-Fournier,1913,French,3 October 1886,27
10,Froth on the Daydream,Boris Vian,1947,French,10-Mar-20,27
11,The Second Sex,Simone de Beauvoir,1949,French,9-Jan-08,41
12,Waiting for Godot,Samuel Beckett,1952,French,13-Apr-06,46
13,Being and Nothingness,Jean-Paul Sartre,1943,French,21-Jun-05,38
14,The Name of the Rose,Umberto Eco,1980,Italian,5-Jan-32,48
15,The Gulag Archipelago,Aleksandr Solzhenitsyn,1973,Russian,11-Dec-18,55
16,Paroles,Jacques Prvert,1946,French,4-Feb-00,46
17,Alcools,Guillaume Apollinaire,1913,French,26 August 1880,33
18,The Blue Lotus,Herg,1936,French,22-May-07,29
19,The Diary of a Young Girl,Anne Frank,1947,Dutch,12-Jun-29,18
20,Tristes Tropiques,Claude Lvi-Strauss,1955,French,28-Nov-08,47
21,Brave New World,Aldous Huxley,1932,English,26 July 1894,38
22,Nineteen Eighty-Four,George Orwell,1949,English,25-Jun-03,46
23,Asterix the Gaul,Ren Goscinny and Albert Uderzo,1959,French,14-Aug-26,33
24,The Bald Soprano,Eugne Ionesco,1952,French,26-Nov-09,43
25,Three Essays on the Theory of Sexuality,Sigmund Freud,1905,German,6 May 1856,49
26,The AbyssZeno of Bruges,Marguerite Yourcenar,1968,French,8-Jun-03,65
27,Lolita,Vladimir Nabokov,1955,English,22 April 1899,56
28,Ulysses,James Joyce,1922,English,2 February 1882,40
29,The Tartar Steppe,Dino Buzzati,1940,Italian,14-Oct-06,34
30,The Counterfeiters,Andr Gide,1925,French,22 November 1869,56
31,The Horseman on the Roof,Jean Giono,1951,French,30 March 1895,56
32,Belle du Seigneur,Albert Cohen,1968,French,16 August 1895,73
33,One Hundred Years of Solitude,Gabriel Garca Mrquez,1967,Spanish,6-Mar-27,40
34,The Sound and the Fury,William Faulkner,1929,English,25 September 1897,32
35,Thrse Desqueyroux,Franois Mauriac,1927,French,11 October 1885,42
36,Zazie in the Metro,Raymond Queneau,1959,French,21-Feb-03,56
37,Confusion of Feelings,Stefan Zweig,1927,German,28 November 1881,46
38,Gone with the Wind,Margaret Mitchell,1936,English,8-Nov-00,36
39,Lady Chatterley's Lover,D. H. Lawrence,1928,English,11 September 1885,43
40,The Magic Mountain,Thomas Mann,1924,German,6 June 1875,49
41,Bonjour Tristesse,Franoise Sagan,1954,French,21-Jun-35,19
42,Le Silence de la mer,Vercors,1942,French,26-Feb-02,40
43,Life: A User's Manual,Georges Perec,1978,French,7-Mar-36,42
44,The Hound of the Baskervilles,Arthur Conan Doyle,1901,English,22 May 1859,42
45,Under the Sun of Satan,Georges Bernanos,1926,French,20 February 1888,38
46,The Great Gatsby,F. Scott Fitzgerald,1925,English,24 September 1896,29
47,The Joke,Milan Kundera,1967,Czech,1-Apr-29,38
48,Contempt/A Ghost at Noon,Alberto Moravia,1954,Italian,28-Nov-07,47
49,The Murder of Roger Ackroyd,Agatha Christie,1926,English,15 September 1890,36
50,Nadja,Andr Breton,1928,French,18 February 1896,32
51,Aurlien,Louis Aragon,1944,French,3 October 1897,47
52,The Satin Slipper,Paul Claudel,1929,French,6 August 1868,61
53,Six Characters in Search of an Author,Luigi Pirandello,1921,Italian,28 June 1867,54
54,The Resistible Rise of Arturo Ui,Bertolt Brecht,1941,German,10 February 1898,43
55,Friday,Michel Tournier,1967,French,19-Dec-24,43
56,The War of the Worlds,H. G. Wells,1898,English,21 September 1866,32
57,"If This Is a Man Se questo  un uomo, Survival in Auschwitz",Primo Levi,1947,Italian,31-Jul-19,28
58,The Lord of the Rings,J. R. R. Tolkien,1954,English,3 January 1892,62
59,Les Vrilles de la vigne,Colette,1908,French,28 January 1873,35
60,Capital of Pain,Paul luard,1926,French,14 December 1895,31
61,Martin Eden,Jack London,1909,English,12 January 1876,33
62,Ballad of the Salt Sea,Hugo Pratt,1967,Italian,15-Jun-27,40
63,Writing Degree Zero,Roland Barthes,1953,French,12-Nov-15,38
64,The Lost Honour of Katharina Blum,Heinrich Bll,1974,German,21-Dec-17,57
65,The Opposing Shore,Julien Gracq,1951,French,17-Jul-10,41
66,The Order of Things,Michel Foucault,1966,French,15-Oct-26,40
67,On the Road,Jack Kerouac,1957,English,12-Mar-22,35
68,The Wonderful Adventures of Nils,Selma Lagerlf,1906,Swedish,20 November 1858,48
69,A Room of One's Own,Virginia Woolf,1929,English,25 January 1882,47
70,The Martian Chronicles,Ray Bradbury,1950,English,22-Aug-20,30
71,The Ravishing of Lol Stein,Marguerite Duras,1964,French,4-Apr-14,50
72,The Interrogation,J. M. G. Le Clzio,1963,French,13-Apr-40,23
73,Tropisms,Nathalie Sarraute,1939,French,19-Oct-00,39
74,"Journal, 18871910",Jules Renard,1925,French,22 February 1864,61
75,Lord Jim,Joseph Conrad,1900,English,3 December 1857,43
76,crits,Jacques Lacan,1966,French,13-Apr-01,65
77,The Theatre and its Double,Antonin Artaud,1938,French,4 September 1896,42
78,Manhattan Transfer,John Dos Passos,1925,English,14 January 1896,29
79,Ficciones,Jorge Luis Borges,1944,Spanish,24 August 1899,45
80,Moravagine,Blaise Cendrars,1926,French,1 September 1887,39
81,The General of the Dead Army,Ismail Kadare,1963,Albanian,28-Jan-36,27
82,Sophie's Choice,William Styron,1979,English,11-Jun-25,54
83,Gypsy Ballads,Federico Garca Lorca,1928,Spanish,5 June 1898,30
84,The Strange Case of Peter the Lett,Georges Simenon,1931,French,13-Feb-03,28
85,Our Lady of the Flowers,Jean Genet,1944,French,19-Dec-10,34
86,The Man Without Qualities,Robert Musil,1942,German,6 November 1880,62
87,Furor and Mystery,Ren Char,1948,French,14-Jun-07,41
88,The Catcher in the Rye,J. D. Salinger,1951,English,1-Jan-19,32
89,No Orchids For Miss Blandish,James Hadley Chase,1939,English,24-Dec-06,33
90,Blake and Mortimer,Edgar P. Jacobs,1950,French,30-Mar-04,46
91,The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,1910,German,4 December 1875,35
92,Second Thoughts,Michel Butor,1957,French,14-Sep-26,31
93,The Origins of TotalitarianismThe Burden of Our Time,Hannah Arendt,1951,English,14-Oct-06,45
94,The Master and Margarita,Mikhail Bulgakov,1967,Russian,15 May 1891,76
95,The Rosy Crucifixion,Henry Miller,1960,English,26 December 1891,69
96,The Big Sleep,Raymond Chandler,1939,English,23 July 1888,51
97,Amers,Saint-John Perse,1957,French,31 May 1887,70
98,GastonGomer Goof,Andr Franquin,1957,French,3-Jan-24,33
99,Under the Volcano,Malcolm Lowry,1947,English,28-Jul-09,38
100,Midnight's Children,Salman Rushdie,1981,English,19-Jun-47,34