rental_id,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
2869,3600,3,2,900,4,1,15,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
4318,3900,3,2,1000,4,9,8,0,0,0,0,1,0,0,0,Greenwood,Brooklyn
6265,2700,2,1,900,4,2,96,0,0,0,0,0,0,0,0,Gowanus,Brooklyn
24,4900,1,1,1216,6,3,88,0,0,0,0,0,0,0,0,Brooklyn Heights,Brooklyn
9481,3900,0,1,1100,3,4,85,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
849,2750,1,1,700,12,3,9,1,0,0,0,0,0,0,0,Clinton Hill,Brooklyn
6029,2700,2,1,750,7,14,96,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
3686,4905,2,2,1114,6,5,2,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
7616,2000,1,1,700,4,2,85,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
863,3200,1,1,800,5,3,27,0,0,0,0,0,0,0,0,Boerum Hill,Brooklyn
8742,2950,2,1,1000,4,3,85,0,0,0,0,0,0,0,0,Park Slope,Brooklyn
9103,1950,2,1,950,5,2,75,0,0,0,0,0,0,0,0,Sheepshead Bay,Brooklyn
10632,1799,1,1,650,7,3,8,0,0,0,0,0,0,0,0,Greenwood,Brooklyn
3887,5317,2,2,981,3,5,85,1,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
4544,2300,2,1,750,14,1,85,0,0,0,0,0,0,0,0,Red Hook,Brooklyn
1026,2400,0,1,450,1,30,9,0,0,0,0,0,0,0,0,Fort Greene,Brooklyn
2201,3045,1,1,589,1,3,17,1,0,0,0,0,0,0,0,Brooklyn Heights,Brooklyn
5050,3790,1,1,681,2,7,90,1,1,1,1,1,0,0,1,Downtown Brooklyn,Brooklyn
10876,2500,0,1,525,7,4,66,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
5912,2600,3,1,1200,5,3,91,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
6233,3226,1,1,976,3,5,0,1,0,0,0,0,0,0,0,Prospect Park South,Brooklyn
726,4995,2,2,1251,5,4,8,0,1,1,0,0,1,0,0,Williamsburg,Brooklyn
5075,6950,3,2,1172,3,4,85,1,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
3104,3500,3,1,950,5,2,115,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
1387,3080,1,1,655,7,5,2,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
8676,6992,2,2,1213,2,7,0,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
9776,6000,4,2,1800,3,2,56,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
8940,2700,2,2,750,11,2,96,0,0,0,0,0,0,0,0,Columbia St Waterfront District,Brooklyn
7240,4246,2,2,1100,4,6,2,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
1388,2299,3,1,1000,8,1,106,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
7568,2400,1.5,1,750,5,2,88,0,0,0,0,0,0,0,0,Greenpoint,Brooklyn
7968,2485,1,1,703,10,5,3,1,0,0,0,0,0,0,0,Clinton Hill,Brooklyn
6408,4000,1,2,900,3,1,106,1,1,1,1,1,1,0,1,Williamsburg,Brooklyn
7191,2995,4,1,2000,5,1,4,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
2291,1500,1,1,800,6,3,52,0,0,0,0,0,0,0,0,Kensington,Brooklyn
508,4370,2,2,933,1,25,5,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
8094,2400,2,1,800,8,2,111,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
5659,3200,1,1,701,10,13,6,1,0,0,0,0,0,0,0,Clinton Hill,Brooklyn
4123,3500,4,2,1500,7,1,86,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
5977,1600,1.5,1,800,3,3,109,0,0,0,0,0,0,0,0,Bushwick,Brooklyn
10259,1650,1,1,686,6,4,57,1,0,0,0,0,0,0,0,Brighton Beach,Brooklyn
4857,2600,3,1,800,3,1,96,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
10421,2400,1,1,875,2,2,85,0,0,0,0,0,0,0,0,Gowanus,Brooklyn
4540,1800,1.5,1,1000,2,2,85,0,0,0,0,0,0,0,0,Bushwick,Brooklyn
8302,2295,1.5,1,600,4,2,86,0,0,0,0,0,0,0,0,Greenpoint,Brooklyn
10395,4700,3,2,1300,4,3,85,1,1,0,1,1,0,0,1,Williamsburg,Brooklyn
2915,1875,0,1,460,7,1,116,0,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
3611,2900,2,1,756,3,2,9,0,0,0,0,0,0,0,0,Crown Heights,Brooklyn
9558,3600,3,1,1000,2,4,86,1,0,0,0,0,0,0,0,Prospect Heights,Brooklyn
1997,2450,1,1,800,5,3,85,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
8915,3200,2,1,1000,3,3,96,0,0,0,0,0,0,0,0,Park Slope,Brooklyn
1471,3300,1,1,974,3,7,2,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
1656,8900,3,2,2000,8,3,102,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
2972,2195,0,1,550,3,4,85,1,0,0,0,0,0,0,0,Boerum Hill,Brooklyn
4182,2900,1,1,662,1,4,9,0,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
7807,2400,3,1,1100,3,4,106,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
7036,2000,2,1,850,8,5,80,0,0,0,0,0,0,0,0,Bay Ridge,Brooklyn
6236,3100,1,1,820,1,10,96,1,1,1,1,1,1,0,1,Downtown Brooklyn,Brooklyn
7906,1650,1,1,620,1,1,90,0,0,0,0,0,0,0,0,Prospect Park South,Brooklyn
780,3090,1,1,675,1,16,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
7915,4120,2,2,917,7,4,2,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
9384,4079,2,2,1154,10,14,6,1,1,1,0,1,1,1,1,Clinton Hill,Brooklyn
10586,1984,1,1,761,6,55,89,1,0,0,0,0,0,0,0,Flatbush,Brooklyn
802,2745,0,1,476,1,37,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
10047,1695,1,1,700,7,3,53,0,0,0,0,0,0,0,0,Kensington,Brooklyn
10653,2850,1,1,800,7,3,12,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
10587,2123,1,1,720,6,58,89,1,0,0,0,0,0,0,0,Flatbush,Brooklyn
1189,2250,1,0,700,9,1,85,0,0,0,0,0,0,0,0,Greenpoint,Brooklyn
8860,4995,2,2,1400,2,6,96,1,0,1,1,0,0,0,1,DUMBO,Brooklyn
3194,2600,0,1,469,1,39,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
10238,5300,2,2,1211,9,6,0,1,0,0,0,0,0,0,0,Greenpoint,Brooklyn
11053,3786,2,1,958,3,6,2,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
8870,5300,2,1,1020,6,3,88,0,0,0,0,0,0,0,0,Brooklyn Heights,Brooklyn
5046,2900,3,1,1500,1,2,85,0,0,0,0,0,0,0,0,Bushwick,Brooklyn
5637,2975,1,1,701,10,4,6,1,0,0,1,0,0,0,0,Clinton Hill,Brooklyn
7844,1500,1,1,600,6,3,85,0,0,0,0,0,0,0,0,Flatbush,Brooklyn
7834,4000,1.5,1,828,5,26,6,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
410,2200,0,1,400,5,3,96,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
9119,6300,2,2,1217,0,6,116,0,0,1,1,1,1,0,1,Brooklyn Heights,Brooklyn
4892,2400,0,1,450,7,2,15,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
28,2350,1,1,550,2,2,88,0,0,0,0,0,0,0,0,Park Slope,Brooklyn
10374,5145,2,2,1106,1,21,17,1,0,0,0,1,0,0,0,Brooklyn Heights,Brooklyn
7360,2900,0,1,582,1,4,10,0,0,1,1,1,0,0,1,DUMBO,Brooklyn
9782,1400,1,0,650,7,11,92,0,0,0,0,0,0,0,0,Brownsville,Brooklyn
9831,2900,3,2,1335,5,4,9,0,0,0,1,1,1,0,0,Gravesend,Brooklyn
7586,1995,1,1,1000,2,5,83,0,0,0,0,0,0,0,0,Brighton Beach,Brooklyn
8103,2650,2,1,800,2,3,106,0,0,0,0,0,0,0,0,Boerum Hill,Brooklyn
1442,2300,1,1,1000,7,1,107,0,0,0,0,0,0,0,0,Crown Heights,Brooklyn
3488,5000,2,2,1124,8,5,3,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
1405,5195,2,2,1085,6,4,8,1,0,1,0,0,0,0,0,Williamsburg,Brooklyn
3525,3600,0,1,1088,5,8,90,0,1,1,0,1,1,0,1,Downtown Brooklyn,Brooklyn
1069,4850,2,1,1006,8,6,3,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
5422,3500,3,1,914,5,1,85,0,0,1,0,0,0,0,0,Crown Heights,Brooklyn
3845,3800,2,2,863,5,6,8,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
2054,2575,0,1,503,1,41,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
6427,3000,2,1,1400,1,2,117,0,0,0,0,0,0,0,0,Boerum Hill,Brooklyn
10257,2200,0,1,522,11,4,88,0,0,0,0,0,1,0,0,Carroll Gardens,Brooklyn
11207,2428,2,1,1092,5,13,52,1,0,0,0,0,0,0,0,Coney Island,Brooklyn
9572,1600,0,1,550,6,3,81,0,0,0,0,0,0,0,0,Prospect Park South,Brooklyn
2050,4488,2,2,930,3,4,4,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
9207,4950,2,1,1006,8,6,3,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
6256,3495,0,1,815,6,4,88,1,0,0,0,1,0,0,0,Brooklyn Heights,Brooklyn
8446,1950,0,1,431,3,6,96,0,0,0,0,0,0,0,0,Park Slope,Brooklyn
9288,3500,1,1,751,4,3,5,1,0,0,0,1,1,0,0,Williamsburg,Brooklyn
6043,2650,2,2,1073,7,4,96,1,0,0,0,0,0,0,0,Brighton Beach,Brooklyn
10258,5050,2,2,1071,7,7,2,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
11343,2200,2,1,1200,3,4,103,0,0,0,0,0,0,0,0,Prospect Park South,Brooklyn
7784,2150,2,1,900,5,3,85,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
9306,15750,3,3,3056,4,6,96,0,0,0,0,0,0,0,0,DUMBO,Brooklyn
7846,4215,2,2,976,1,23,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
10873,2348,1,1,760,1,3,96,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
6714,1581,0,1,513,5,12,52,1,0,0,0,0,0,0,0,Coney Island,Brooklyn
8220,2850,3,2,1500,7,2,11,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
4250,3171,1,1,711,1,29,9,1,0,0,0,0,0,0,0,Fort Greene,Brooklyn
6353,3300,2,1,795,2,2,9,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
7296,3225,2,1,1200,3,6,87,1,0,0,0,0,0,0,0,Windsor Terrace,Brooklyn
10592,3000,2,1,700,1,3,108,0,0,0,0,0,0,0,0,Park Slope,Brooklyn
6294,1675,1,1,805,4,4,59,1,0,0,0,0,0,0,0,Gravesend,Brooklyn
3843,2225,0,1,536,5,1,8,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
3151,5800,1,1,1293,5,10,100,0,0,0,0,0,0,0,0,DUMBO,Brooklyn
5286,1550,1,1,625,7,9,94,1,0,0,0,0,0,0,0,Sheepshead Bay,Brooklyn
8157,5346,2,1,842,5,6,1,1,0,0,0,0,0,0,0,DUMBO,Brooklyn
2282,3155,1,1,677,1,29,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
6037,2400,2,1,700,1,1,106,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
8853,2250,1,1,611,2,9,9,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
8771,2500,0,1,634,6,3,11,0,0,1,1,1,1,0,0,Downtown Brooklyn,Brooklyn
5642,1500,0,0,400,2,1,103,0,0,0,0,0,0,0,0,Crown Heights,Brooklyn
6134,11000,4,3,3243,2,29,89,0,0,0,0,0,0,0,0,Fort Greene,Brooklyn
3551,3800,2,1,1312,12,1,9,1,0,0,1,1,1,0,0,Clinton Hill,Brooklyn
844,2395,3,1,1000,2,3,101,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
6986,2395,3,1,950,4,3,109,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
3155,3200,3,1,1000,2,3,85,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
4807,4550,2,1,1200,3,7,2,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
7660,4615,2,2,922,1,16,5,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
591,2850,2,1,850,1,3,13,1,0,0,0,0,1,0,0,Bedford-Stuyvesant,Brooklyn
4106,2800,4,1,1000,6,1,110,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
10918,3000,1,1,731,5,6,96,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
1681,3900,2,2,914,3,2,2,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
7506,2814,0,1,615,8,5,106,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
1898,5299,2,1,1006,8,6,3,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
1361,1550,1,1,650,3,2,106,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
6177,2200,1,1,475,1,3,85,0,0,0,0,0,0,0,0,Cobble Hill,Brooklyn
4284,6875,3,2,1200,3,6,1,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
8921,2978,1,1,657,2,33,3,1,0,0,0,0,0,0,0,Fort Greene,Brooklyn
4485,5550,2,2,1132,1,47,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
6860,1400,0,1,550,5,5,63,1,0,0,0,0,0,0,0,Ocean Parkway,Brooklyn
10511,3875,2,2,1100,7,12,6,1,1,0,0,1,1,0,1,Downtown Brooklyn,Brooklyn
6958,1650,1,1,800,3,3,85,0,0,0,0,0,0,0,0,Crown Heights,Brooklyn
10119,4800,2,2,1208,6,16,11,1,0,1,0,0,0,1,0,Downtown Brooklyn,Brooklyn
5789,1750,1,1,500,2,3,85,0,0,0,0,0,0,0,0,Prospect Lefferts Gardens,Brooklyn
75,3305,0,1,515,3,6,16,1,0,0,0,0,0,0,0,DUMBO,Brooklyn
9192,3300,2,1,743,12,3,9,1,1,0,1,1,1,0,1,Clinton Hill,Brooklyn
5179,4695,2,2,862,5,3,8,1,1,0,0,0,0,0,0,Williamsburg,Brooklyn
9058,2200,1,1,750,5,5,86,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
5091,3070,1,1,613,9,10,4,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
5853,3445,1,1,617,6,4,92,1,0,0,0,0,0,0,0,Cobble Hill,Brooklyn
9687,2250,2,1,733,3,4,100,0,0,0,0,0,0,0,0,Greenwood,Brooklyn
7347,1775,1,1,750,10,4,65,0,0,0,0,0,0,0,0,Kensington,Brooklyn
2626,4675,2,2,1098,3,2,7,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
2691,3795,2,1,770,3,8,2,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
6003,5000,2,2,1124,4,4,10,0,1,1,0,1,0,0,0,DUMBO,Brooklyn
8966,4695,2,2,1100,7,10,5,1,1,0,0,0,0,0,0,Carroll Gardens,Brooklyn
7913,3348,0,1,426,5,16,1,1,0,0,0,0,0,0,0,DUMBO,Brooklyn
6620,2395,3,1,950,4,1,109,0,0,0,0,0,0,0,0,Bushwick,Brooklyn
7612,2970,1,1,677,1,15,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
2679,2840,0,1,505,1,44,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
6768,3000,1,1,930,2,2,11,0,0,1,0,0,1,0,0,Williamsburg,Brooklyn
3406,3461,1,1,725,2,23,3,1,0,0,0,0,0,0,0,Fort Greene,Brooklyn
8116,2450,1,1,750,1,2,96,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
4298,2599,2,1,800,5,1,106,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
62,2100,1,1,900,7,1,13,0,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
6732,1950,0,1,521,2,2,2,0,0,0,0,0,0,0,0,Greenwood,Brooklyn
10788,3900,1,1,865,10,6,116,0,0,1,0,1,1,0,0,Williamsburg,Brooklyn
10850,2300,2,1,1000,7,6,55,0,1,0,1,0,1,0,0,Bay Ridge,Brooklyn
2690,2300,1,1,750,4,2,85,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
7383,3000,3,1,1000,14,1,96,0,0,0,0,0,0,0,0,Fort Greene,Brooklyn
6544,2400,2,1,700,4,4,96,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
4639,1350,1,1,750,7,9,92,0,0,0,0,0,0,0,0,Brownsville,Brooklyn
10629,3400,3,2,1500,5,1,85,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
9672,2150,1,1,650,5,2,86,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
470,2575,0,1,725,2,4,85,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
5941,2995,1,1,765,9,4,7,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
9601,6000,3,2,1798,1,13,88,0,0,1,0,0,1,0,0,Downtown Brooklyn,Brooklyn
5135,2850,3,2,1500,7,2,11,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
9435,1325,0,1,300,1,3,85,0,0,0,0,0,0,0,0,Sunset Park,Brooklyn
11061,2650,1,1,600,7,2,117,0,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
3096,4595,3,1,1000,7,2,106,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
9747,2799,1,1,700,6,2,11,0,0,0,0,0,0,0,0,Greenpoint,Brooklyn
9067,2200,2,1,800,3,2,115,0,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
8078,3800,1,1,1000,3,4,88,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
6169,4361,3,1,914,3,2,2,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
5034,1900,2,1,900,4,1,96,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
7500,3200,1,1,796,2,2,96,0,0,1,1,1,0,0,1,DUMBO,Brooklyn
1151,3300,2,1,1300,3,2,85,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
9801,2650,1,1,750,1,2,92,1,0,1,0,1,0,0,0,Brooklyn Heights,Brooklyn
189,4299,1,1,901,6,10,88,0,1,0,1,1,0,0,1,Brooklyn Heights,Brooklyn
2590,2400,3,1,900,3,4,102,0,0,0,0,0,0,0,0,Ditmas Park,Brooklyn
402,2640,0,1,472,6,5,2,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
8119,2300,0,1,550,2,4,86,0,0,0,0,0,0,0,0,Clinton Hill,Brooklyn
6987,2400,0,1,500,6,12,7,0,1,1,1,1,1,0,1,Downtown Brooklyn,Brooklyn
3543,2300,0,1,550,7,5,6,0,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
3656,2950,1,1,660,14,4,96,1,0,0,0,0,1,0,0,Columbia St Waterfront District,Brooklyn
10845,2300,3,1,850,7,1,92,0,0,0,0,0,0,0,0,Bay Ridge,Brooklyn
3805,2600,1,1,655,5,2,5,0,0,0,0,0,0,0,0,Clinton Hill,Brooklyn
1268,3385,3,2,1175,4,2,9,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
6298,1800,1,1,779,8,4,86,1,0,0,0,0,0,0,0,Bay Ridge,Brooklyn
7277,4500,2,1,1571,5,6,96,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
3111,4595,2,2,1088,7,10,5,1,1,0,0,0,0,0,0,Carroll Gardens,Brooklyn
480,2760,1,1,405,4,4,106,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
7967,2530,1,1,701,10,6,3,1,0,0,0,0,0,0,0,Clinton Hill,Brooklyn
8122,2495,3,1,900,1,3,9,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
9321,3495,1,1,882,5,3,6,0,0,0,1,1,1,0,1,Williamsburg,Brooklyn
3520,3850,2,2,1127,3,5,2,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
10853,13500,4,3,2364,6,5,8,0,0,0,0,0,0,0,0,Carroll Gardens,Brooklyn
8284,4500,3,2,1000,2,3,106,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
5896,2500,0,1,525,7,3,66,1,0,0,0,0,0,0,0,Crown Heights,Brooklyn
4972,3500,2,1,1000,11,3,116,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
2773,4195,2,2,886,8,2,3,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
9208,9400,3,2,1274,8,6,3,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
2864,2550,2,1,790,2,2,9,1,0,1,1,1,0,0,1,Bushwick,Brooklyn
4524,5100,2,2,1123,8,5,3,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
3050,3369,1,1,717,4,9,7,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
216,2775,2,1,675,2,3,85,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
1033,3029,1,1,655,7,3,2,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
3715,4800,3,2,1500,7,1,106,0,0,0,0,0,0,0,0,Brooklyn Heights,Brooklyn
4904,5295,2,2,1254,1,19,10,0,0,0,0,0,0,1,1,DUMBO,Brooklyn
1945,2395,1,1,700,6,2,86,0,0,0,0,0,0,0,0,Greenpoint,Brooklyn
9125,2995,1,2,1000,4,4,3,0,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
9802,5250,3,2,1300,4,7,7,1,1,1,0,0,1,0,0,Clinton Hill,Brooklyn
7117,2975,0,1,605,5,23,6,0,0,0,0,1,1,0,1,Williamsburg,Brooklyn
11244,4795,3,1,1100,2,3,106,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
7349,2450,2,1,1000,7,2,85,1,0,0,0,0,0,0,0,Bushwick,Brooklyn
10394,4500,3,1,1000,4,1,85,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
7196,2650,2,1,777,4,1,15,0,0,0,0,0,0,0,0,Boerum Hill,Brooklyn
7813,4350,3,1,950,2,2,106,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
3372,3100,3,1,710,9,2,106,1,0,0,0,0,0,0,0,Bedford-Stuyvesant,Brooklyn
3658,3370,1,1,677,1,20,7,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
5078,1832,1,1,690,5,11,52,1,0,0,0,0,0,0,0,Coney Island,Brooklyn
2030,6500,1,1,1000,8,2,51,0,0,0,0,0,0,0,0,Williamsburg,Brooklyn
5681,2780,0,1,520,5,2,11,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
6501,3067,2,1,775,9,3,106,1,0,0,0,0,0,0,0,Greenpoint,Brooklyn
10672,1600,0,1,500,6,10,54,0,0,0,0,0,0,0,0,Prospect Lefferts Gardens,Brooklyn
8922,2650,0,1,516,2,12,3,1,0,0,0,0,0,0,0,Fort Greene,Brooklyn
8680,3375,1,1,750,1,40,3,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
1363,2850,1,1,825,12,3,9,1,0,0,0,0,0,0,0,Clinton Hill,Brooklyn
4886,3994,2,1,800,7,3,7,1,0,0,0,0,0,0,0,Williamsburg,Brooklyn
7756,3875,2,3,1274,5,4,11,0,0,0,0,0,0,0,0,Crown Heights,Brooklyn
9205,3600,1,1,1100,4,4,96,1,0,0,0,0,0,0,0,DUMBO,Brooklyn
2467,3500,2,2,1014,4,5,9,0,0,0,0,0,0,0,0,Ditmas Park,Brooklyn
865,2615,0,1,430,1,24,5,1,0,0,0,0,0,0,0,Downtown Brooklyn,Brooklyn
